City,Climate,Correlation_NDVI,Correlation_BuiltUp,P_Value,Percent_Area_Risk,Percent_Pop_Exposed,Exposure_Ratio,Total_Population,Cumulative_Risk,Risk_Per_Capita,Rain_SD,Effective_Pixels,Area_km2
"Islamabad, Pakistan",Continental,0.3707072980643702,-0.2218367254248612,9.825227668602542e-18,21.0,52.31763875438262,2.491316131161077,18161.393795315525,23657870.839296352,1302.6462123958,0.06841891905229301,41.04540012748916,1241.623353856547
"Colombo, Sri Lanka",Tropical,0.08714857381059236,-0.017418329053258623,0.15875742713052518,22.813688212927758,16.502074784773725,0.7233409447325816,13391.259509369906,4181702.6408964526,312.2710479899596,0.0698188602058671,41.045400127489344,1241.6233538565527
"Mumbai, India",Monsoon,0.18845747290734968,-0.10680622330409063,0.0004082328340042557,25.287356321839084,19.59110051748506,0.7747389750096364,69922.58039832168,144906351.64077806,2072.3827812890067,0.1666525329234736,41.04540012748955,1241.6233538565589
"Kuala Lumpur, Malaysia",Tropical,-0.06177435539321294,0.05783221922661967,0.17350164721389724,36.96098562628337,38.4347687496201,1.039874021170277,25008.986447435833,22120652.002098754,884.5081366488877,0.042088064259095406,41.04540012748943,1241.6233538565552
"Hangzhou, China",Temperate,0.057544827758059185,0.07888231725196457,0.23156141810456762,59.67741935483871,55.63985295556423,0.9323434819581032,15841.040864829258,1134043762.996262,71588.9677119702,0.07151406072864132,41.04540012748932,1241.623353856552
"Jakarta, Indonesia",Equatorial,0.06602507815815052,-0.0303254197418712,0.16681118521153282,66.5909090909091,68.58903918712049,1.0300060492263827,62667.089606503665,67261747.8397193,1073.3185195302065,0.04238694462376785,41.04540012748956,1241.623353856559
"Hyderabad, India",Monsoon,-0.001101075452878277,-0.014447640525118436,0.9804065790039959,52.400000000000006,65.711573170255,1.2540376559208968,39090.15139690024,29994213.418600246,767.3087042834712,0.031173265090301057,41.04540012748925,1241.6233538565498
